COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,601.759,D,Difference in methodology
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,650.779,D,Difference in methodology
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,920.464,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,684.288,D; P,Difference in methodology; Provisional value
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2010,USD,US Dollar,6,Millions,2010,4663.164,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2011,USD,US Dollar,6,Millions,2010,4668.559,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2012,USD,US Dollar,6,Millions,2010,4523.628,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2013,USD,US Dollar,6,Millions,2010,4560.848,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2014,USD,US Dollar,6,Millions,2010,4571.116,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2015,USD,US Dollar,6,Millions,2010,4442.34,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2016,USD,US Dollar,6,Millions,2010,4321.926,D,Difference in methodology
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2017,USD,US Dollar,6,Millions,2010,4707.705,D; P,Difference in methodology; Provisional value
AUS,Australia,_T,Total,DF6,2010 Dollars - Constant prices and PPPs,2018,USD,US Dollar,6,Millions,2010,4449.709,D; E; P,Difference in methodology; Estimated value; Provisional value
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2010,USD,US Dollar,6,Millions,2010,319.111,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2011,USD,US Dollar,6,Millions,2010,307.97,D,Difference in methodology
